Winner,Pts,Loser,Pts
Memphis,44,Charlotte,38
(2) Michigan,24,(9) Penn State,15
Middle Tennessee State,40,Florida International,6
(16) Missouri,36,(14) Tennessee,7
Navy,31,Alabama-Birmingham,6
New Mexico State,38,Western Kentucky,29
(24) North Carolina,47,Duke,45
North Carolina State,26,Wake Forest,6
Northwestern,24,Wisconsin,10
(3) Ohio State,38,Michigan State,3
(17) Oklahoma,59,West Virginia,20
(6) Oregon,36,Southern California,27
(12) Oregon State,62,Stanford,17
Purdue,49,Minnesota,30
Sam Houston,42,Louisiana Tech,27
San Jose State,42,Fresno State,18
South Alabama,21,Arkansas State,14
South Carolina,47,Vanderbilt,6
South Florida,27,Temple,23
Syracuse,28,Pittsburgh,13
(7) Texas,29,Texas Christian,26
Texas A&M,51,Mississippi State,10
Texas Tech,16,(19) Kansas,13
Texas-San Antonio,34,Rice,14
Troy,45,Louisiana-Monroe,14
(20) Tulane,24,Tulsa,22
Utah State,41,Nevada,24
Virginia Tech,48,Boston College,22
(5) Washington,35,(13) Utah,28
Eastern Michigan,30,Akron,27
Northern Illinois,24,Western Michigan,0
Toledo,32,Bowling Green,31
Miami (OH),23,Buffalo,10
Ohio,34,Central Michigan,20
Pittsburgh,24,Boston College,16
Texas-San Antonio,49,South Florida,21
Washington State,56,Colorado,14
(8) Alabama,66,Chattanooga,10
Alabama-Birmingham,34,Temple,24
Appalachian State,26,(18) James Madison,23
(19) Arizona,42,(16) Utah,18
Arkansas,44,Florida International,20
Arkansas State,77,Texas State,31
Army,28,Coastal Carolina,21
Ball State,34,Kent State,3
Boise State,45,Utah State,10
California,27,Stanford,15
Clemson,31,(22) North Carolina,20
Colorado State,30,Nevada,20
Connecticut,31,Sacred Heart,3
(4) Florida State,58,North Alabama,13
(1) Georgia,38,(21) Tennessee,10
Georgia Tech,31,Syracuse,22
Iowa,15,Illinois,13
Jacksonville State,56,Louisiana Tech,17
(23) Kansas State,31,Kansas,27
(25) Liberty,49,Massachusetts,25
(15) Louisiana State,56,Georgia State,14
(9) Louisville,38,Miami (FL),31
(2) Michigan,31,Maryland,24
Michigan State,24,Indiana,21
Middle Tennessee State,34,Texas-El Paso,30
(13) Mississippi,35,Louisiana-Monroe,3
Mississippi State,41,Southern Mississippi,20
(11) Missouri,33,Florida,31
Navy,10,East Carolina,0
Nevada-Las Vegas,31,Air Force,27
New Mexico,25,Fresno State,17
New Mexico State,31,Auburn,10
North Carolina State,35,Virginia Tech,28
North Texas,35,Tulsa,28
Northwestern,23,Purdue,15
(20) Notre Dame,45,Wake Forest,7
(3) Ohio State,37,Minnesota,3
(14) Oklahoma,31,Brigham Young,24
(24) Oklahoma State,43,Houston,30
Old Dominion,20,Georgia Southern,17
(6) Oregon,49,Arizona State,13
(12) Penn State,27,Rutgers,6
Rice,28,Charlotte,7
San Jose State,24,San Diego State,13
South Alabama,28,Marshall,0
South Carolina,17,Kentucky,14
Southern Methodist,38,Memphis,34
(7) Texas,26,Iowa State,16
Texas A&M,38,Abilene Christian,10
Texas Christian,42,Baylor,17
Texas Tech,24,Central Florida,23
Troy,31,Louisiana,24
(17) Tulane,24,Florida Atlantic,8
UCLA,38,Southern California,20
Virginia,30,Duke,27
(5) Washington,22,(10) Oregon State,20
West Virginia,42,Cincinnati,21
Western Kentucky,28,Sam Houston,23
Wisconsin,24,Nebraska,17
Wyoming,42,Hawaii,9
Bowling Green,34,Western Michigan,10
Eastern Michigan,24,Buffalo,11
(12) Mississippi,17,Mississippi State,7
Boise State,27,Air Force,19
(20) Iowa,13,Nebraska,10
Memphis,45,Temple,21
